c1,c2,stim,isPlural
floor,boards,floorboards,1
switch,boards,switchboards,1
sound,boards,soundboards,1
checker,boards,checkerboards,1
clap,boards,clapboards,1
back,boards,backboards,1
black,boards,blackboards,1
clapper,boards,clapperboards,1
drain,boards,drainboards,1
cup,boards,cupboards,1
lap,boards,lapboards,1
wash,boards,washboards,1
cheese,boards,cheeseboards,1
sea,boards,seaboards,1
score,boards,scoreboards,1
tail,boards,tailboards,1
chalk,boards,chalkboards,1
head,boards,headboards,1
skate,boards,skateboards,1
mold,boards,moldboards,1
clip,boards,clipboards,1
sign,boards,signboards,1
shuffle,boards,shuffleboards,1
spring,boards,springboards,1
base,boards,baseboards,1
mortar,boards,mortarboards,1
bill,boards,billboards,1
dart,boards,dartboards,1
weather,boards,weatherboards,1
finger,boards,fingerboards,1
center,boards,centerboards,1
snow,boards,snowboards,1
key,boards,keyboards,1
surf,boards,surfboards,1
side,boards,sideboards,1
dash,boards,dashboards,1
bare,boat,bareboat,0
bum,boat,bumboat,0
mail,boat,mailboat,0
flat,boat,flatboat,0
ferry,boat,ferryboat,0
gun,boat,gunboat,0
show,boat,showboat,0
pig,boat,pigboat,0
speed,boat,speedboat,0
fire,boat,fireboat,0
keel,boat,keelboat,0
life,boat,lifeboat,0
cat,boat,catboat,0
whale,boat,whaleboat,0
motor,boat,motorboat,0
power,boat,powerboat,0
surf,boat,surfboat,0
narrow,boat,narrowboat,0
house,boat,houseboat,0
ice,boat,iceboat,0
sail,boat,sailboat,0
row,boat,rowboat,0
sauce,boat,sauceboat,0
tug,boat,tugboat,0
tow,boat,towboat,0
steam,boat,steamboat,0
long,boat,longboat,0
bare,boating,bareboating,0
sail,boats,sailboats,1
flat,boats,flatboats,1
whale,boats,whaleboats,1
steam,boats,steamboats,1
long,boats,longboats,1
house,boats,houseboats,1
ice,boats,iceboats,1
cat,boats,catboats,1
tug,boats,tugboats,1
speed,boats,speedboats,1
power,boats,powerboats,1
life,boats,lifeboats,1
row,boats,rowboats,1
show,boats,showboats,1
tow,boats,towboats,1
ferry,boats,ferryboats,1
motor,boats,motorboats,1
gun,boats,gunboats,1
ski,bob,skibob,0
ski,bobs,skibobs,1
under,bodice,underbodice,0
busy,bodies,busybodies,1
dogs,bodies,dogsbodies,1
home,bodies,homebodies,1
some,bodies,somebodies,1
home,body,homebody,0
dogs,body,dogsbody,0
under,body,underbody,0
black,body,blackbody,0
some,body,somebody,0
busy,body,busybody,0
gum,boil,gumboil,0
pot,boiler,potboiler,0
pot,boilers,potboilers,1
gum,boils,gumboils,1
king,bolt,kingbolt,0
dead,bolt,deadbolt,0
thunder,bolt,thunderbolt,0
thunder,bolts,thunderbolts,1
dead,bolts,deadbolts,1
fire,bomb,firebomb,0
fire,bombs,firebombs,1
fish,bone,fishbone,0
whale,bone,whalebone,0
hip,bone,hipbone,0
back,bone,backbone,0
breast,bone,breastbone,0
collar,bone,collarbone,0
heel,bone,heelbone,0
jaw,bone,jawbone,0
herring,bone,herringbone,0
red,bone,redbone,0
shin,bone,shinbone,0
aitch,bone,aitchbone,0
marrow,bone,marrowbone,0
ankle,bone,anklebone,0
wish,bone,wishbone,0
cheek,bone,cheekbone,0
thigh,bone,thighbone,0
thigh,bones,thighbones,1
lazy,bones,lazybones,1
jaw,bones,jawbones,1
cheek,bones,cheekbones,1
ankle,bones,anklebones,1
herring,bones,herringbones,1
cross,bones,crossbones,1
wish,bones,wishbones,1
back,bones,backbones,1
hip,bones,hipbones,1
shin,bones,shinbones,1
saw,bones,sawbones,1
breast,bones,breastbones,1
knuckle,bones,knucklebones,1
collar,bones,collarbones,1
marrow,bones,marrowbones,1
sun,bonnet,sunbonnet,0
blue,bonnet,bluebonnet,0
blue,bonnets,bluebonnets,1
sun,bonnets,sunbonnets,1
year,book,yearbook,0
cook,book,cookbook,0
prayer,book,prayerbook,0
bank,book,bankbook,0
cheque,book,chequebook,0
text,book,textbook,0
horn,book,hornbook,0
pass,book,passbook,0
log,book,logbook,0
day,book,daybook,0
phone,book,phonebook,0
hand,book,handbook,0
guide,book,guidebook,0
check,book,checkbook,0
word,book,wordbook,0
road,book,roadbook,0
hymn,book,hymnbook,0
song,book,songbook,0
story,book,storybook,0
stud,book,studbook,0
school,book,schoolbook,0
case,book,casebook,0
scrap,book,scrapbook,0
note,book,notebook,0
work,book,workbook,0
copy,book,copybook,0
match,book,matchbook,0
play,book,playbook,0
prompt,book,promptbook,0
pocket,book,pocketbook,0
sketch,book,sketchbook,0
stud,books,studbooks,1
story,books,storybooks,1
case,books,casebooks,1
sketch,books,sketchbooks,1
scrap,books,scrapbooks,1
bank,books,bankbooks,1
match,books,matchbooks,1
work,books,workbooks,1
year,books,yearbooks,1
log,books,logbooks,1
copy,books,copybooks,1
pass,books,passbooks,1
hand,books,handbooks,1
cook,books,cookbooks,1
text,books,textbooks,1
hymn,books,hymnbooks,1
